Type,Kingdom/Region,Name,Leader,Description,Alias,X1,Y1,X2,Y2
City/Settlement,Far Lands,Rockfort Ridge,,,,5859,3612,5949,3665
City/Settlement,Far Lands,Slag's Reach,"Stacie  Wegner, 69",,,6180,4081,6210,4111
City/Settlement,Far Lands,Soratin,,,,5868,3722,5898,3752
City/Settlement,Far Lands,Tabrise,,,,6322,4321,6352,4351
City/Settlement,Far Lands,Trigg's Landing,"Barbara A Riese, 23",,,5929,3877,5959,3907
City/Settlement,Morheim,Borderton,"Ernard, 98",,,4996,2640,5026,2670
City/Settlement,Morheim,Boscus Pass,"Springer Kingsly, 62",,,4283,2606,4313,2636
City/Settlement,Morheim,Bright Stone,"Ali Lak, 56",,,2846,2189,2876,2219
City/Settlement,Morheim,Coval,"Tope Gnek, 46",,,4672,2604,4702,2634
City/Settlement,Morheim,Elder Point,"John Frai, 63",,,3142,2142,3172,2172
City/Settlement,Morheim,Elvene,"Fonda Martz, 64",,,2981,2380,3011,2410
City/Settlement,Morheim,Fernn,"Marchello Ashwood, 71",,,3742,3544,3772,3574
City/Settlement,Morheim,Fort Arteron,"Regan Westchesterforth, 73",,,2640,2589,2670,2619
City/Settlement,Morheim,Groggwood," Marry Carelton, 40",,,4845,2177,4875,2207
City/Settlement,Morheim,Korthal," King Ferguson Morhellium, 59","A bustling metropolis, the Capital city is a center of trade, commerce, and adventure. After a long and rich history, the city’s architecture is ever-changing, unique and timeless.",,3248,2127,3298,2177
City/Settlement,Morheim,Lunalem,"Aero Olathana, 37",,,3719,2443,3749,2473
City/Settlement,Morheim,Lyric,"Cecile Smither, 62",,,2903,2859,2933,2889
City/Settlement,Morheim,Mattermont,"Norman Windchester, 106",,,3184,2725,3214,2755
City/Settlement,Morheim,Riverhold,"Kole Blackwood, 88",,,3580,3206,3610,3236
City/Settlement,Morheim,Starguard,"Brennan Iedeman, 26",,,3616,2189,3646,2219
City/Settlement,Morheim,University,,,,2906,3102,3040,3174
City/Settlement,Morheim,WakeField,"Elrer Berkeley, 79",,,2648,2397,2678,2427
City/Settlement,Morheim,Yellow Ridge,,,,4294,2907,4324,2937
City/Settlement,OAR,Angelfer Island,"Ecin Aveyry, 46",,,6680,3476,6710,3506
City/Settlement,OAR,Aquatas,"Ethed Gelnne, 53",,,6763,3110,6883,3230
City/Settlement,OAR,Ardenport,"Gunthur Eshlemen, 200",,,5568,2496,5598,2526
City/Settlement,OAR,Carran,"Vyncent Tamrei, 28",,,6087,3514,6117,3544
City/Settlement,OAR,Cindergulch,"Ethew Ahren, 74",,,6995,3707,7025,3737
City/Settlement,OAR,Drymoor,"Beth Amberdown, 95",,,6331,3778,6361,3808
City/Settlement,OAR,Far Water,"Urnath Greek, 100",,,6297,3537,6327,3567
City/Settlement,OAR,Flurham,"Kimim Clayton, 26",,,5691,2119,5721,2149
City/Settlement,OAR,Meera,"Tanver, 61",,,5704,3160,5754,3210
City/Settlement,OAR,MesaPort,"Durwin Bram, 87",,,6514,3672,6544,3702
City/Settlement,OAR,Nightshale,"Lytton Bonsaw, 58",,,6065,2151,6095,2181
City/Settlement,OAR,Pikecliff,"Dursley Grendal, 65",,,5428,3084,5458,3114
City/Settlement,OAR,Pikeville,"Wetherby Flatwater, 97",,,5316,3116,5346,3146
City/Settlement,OAR,Pirates Sanctum,"Kott Sonsenz, 22",,,6936,2668,6966,2698
City/Settlement,OAR,Port Mid,"Jalen Ashley, 101",,,6374,2337,6404,2367
City/Settlement,OAR,Port Passer,"Treyari Adlam, 53",,,5817,3547,5847,3577
City/Settlement,OAR,Port Sheerstone,"Jules Deighton, 27",,,6648,2285,6678,2315
City/Settlement,OAR,Retria,"Osval Poive, 31",,,6343,2449,6373,2479
City/Settlement,OAR,Ruslet,"Roland Burkeley, 108",,,6405,2654,6435,2684
City/Settlement,OAR,Sheerstone Island,"Shermon Slootmaekers, 28",,,6731,2333,6761,2363
City/Settlement,OAR,Smit,"Cyso Pauwels, 28",,,5614,2765,5644,2795
City/Settlement,OAR,Smuggler's Cove," Johnnie Vollan, 25 | Scot Atwig, 116 | Sozen Mountainkin, 64","Hidden away by powerful magics in the Patola Bay, The Smugglers port is home to all the unsavory business of the North-OAR population. A Large, 400ft high and several-kilometer deep cavern hidden inside the mountainous cliffside. Sailors coming into this port are greeted with two magnificent stone pillars holding the ceiling up in the middle of the water, with ropes and bridges sprawling from it at every height and direction possible, leading elsewhere into the cavern walls or surrounding buildings.",,5446,2143,5476,2173
City/Settlement,OAR,Tebiton," Florine Dennel, 24",,,7078,3476,7108,3506
City/Settlement,OAR,Usterduum,"Ulysses Deney, 36",,,5992,2900,6022,2930
City/Settlement,Shattered Isles,Aphachaigia Isl.,,,,4932,5162,5174,5321
City/Settlement,Shattered Isles,Azureinn Isl.,,,,4437,5030,4663,5267
City/Settlement,Shattered Isles,Broken Earth Isl.,,,,5119,5505,5357,5600
City/Settlement,Shattered Isles,Ichor Landing,,,,5625,5494,5776,5567
City/Settlement,Shattered Isles,Laogai,,,,5373,5010,5608,5199
City/Settlement,Shattered Isles,Mytra,,,,5825,4953,5825,4953
City/Settlement,Shattered Isles,Oman,,,,5815,4776,5815,4776
City/Settlement,Shattered Isles,Uadir,,,,5876,5286,5906,5316
City/Settlement,Xandor,Elantis,"Priestess Jamer Lorenzen, 200",,,2053,1419,2103,1469
City/Settlement,Xandor,Frostling Stronghold,"Estelar, 43",,,839,2262,869,2292
City/Settlement,Xandor,Rea Xandor,"Lenon, 43",,,2273,1734,2323,1784
City/Settlement,Xandor,Rhun,"Krikle Shazorwyn, 79",,,6585,1293,6635,1343
City/Settlement,Xandor,The Watch House,,,,528,1996,625,2047
City/Settlement,Xandor,Ty Rythel,"Oggugat Galakir, 66",,,875,1425,905,1455
City/Settlement,Xandor,Val'Alora,"Gerardo O Lanse, 30",,,2941,1646,2971,1676
City/Settlement,Xecuria,Andale Port,"Dean Richards, 74",,,738,2784,768,2814
City/Settlement,Xecuria,Cindere,"Christiana Amundsen, 48",,,1094,3197,1124,3227
City/Settlement,Xecuria,Druin,"Burocco Babineaux, 48",,,944,3165,974,3195
City/Settlement,Xecuria,Elafi Field,"Adol Forey, 102",,,820,3043,850,3073
City/Settlement,Xecuria,Esperia,"Clad Arnuanna, 54",,,1285,3419,1315,3449
City/Settlement,Xecuria,Far Point,"Cher Tron, 133",,,1200,4578,1230,4608
City/Settlement,Xecuria,Freeton,"Dino Berg, 21",,,1246,4186,1276,4216
City/Settlement,Xecuria,Hearth,"Coleman Cote Boyle, 49",,,1255,3792,1285,3822
City/Settlement,Xecuria,KingsPort,"Sam, 56",,,685,3485,715,3515
City/Settlement,Xecuria,Mistvalley Keep,"Ashly Bonsaw, 83",,,1019,3394,1069,3444
City/Settlement,Xecuria,Oberon Ports,"Ellyn Blunt, 71",,,684,4117,714,4147
City/Settlement,Xecuria,Red Rock,"Elix Cabaniss, 37",,,1318,3062,1348,3092
City/Settlement,Xecuria,Revari,"Di Dorrance, 93",,,1510,3227,1540,3257
City/Settlement,Xecuria,Sledge,"Abethra Joubert, 69",,,1144,2351,1174,2381
City/Settlement,Xecuria,Somarden,"Janna Asmon, 23",,,1004,3560,1034,3590
City/Settlement,Xecuria,Stillcreek,"Mete Fizzlebottom, 48",,,1500,3559,1530,3589
City/Settlement,Xecuria,Usuall,"Kenny, 72",,,1251,2938,1281,2968
City/Settlement,Xecuria,West Warden,"Emorder Matinle, 28",,,379,3739,409,3769
City/Settlement,Xecuria,Zirconia,"Chase Devaul, 73",,,896,4444,926,4474
City/Settlement,Yuntas-Mire,Barsellaq,"Suzanna Sweet, 47",,,4298,4206,4328,4236
City/Settlement,Yuntas-Mire,Fallmoer,"Mendy Krause, 64",,,4778,3882,4808,3912
City/Settlement,Yuntas-Mire,Hold of Civilization,,,,3731,4077,3781,4127
City/Settlement,Yuntas-Mire,Katsu-Tal,"Panicar Poin, 40",,,4036,3823,4066,3853
City/Settlement,Yuntas-Mire,Mire'Seil,"Devin Stamp, 61",,,5060,3388,5110,3438
City/Settlement,Yuntas-Mire,Ousoul-Droth,"Noma Steadman, 55",,,4413,3989,4443,4019
City/Settlement,Yuntas-Mire,Sutherland Keep,"Devin Kramer, 40",,,3622,4429,3672,4479
City/Settlement,Yuntas-Mire,Tineihm,"Karol Keeling, 26",,,4933,3634,4963,3664
City/Settlement,Yuntas-Mire,Underdark Guard Post,,,,4133,3580,4163,3610
City/Settlement,Yuntas-Mire,Vassalqar,"Desiree Chester, 71",,,4534,3783,4564,3813
City/Settlement,Yuntas-Mire,Yuntas,"Rosamaria Sweeney, 47",,,4146,4310,4196,4360
Desert,Collective,Tarsal Desert,,,,2338,2972,2774,3420
Desert / Plain,Collective,The Sabul Stones,,,,2674,3257,2949,3427
Desert / Plain,Collective,The Tarsal Desert,,,,2338,2972,2774,3420
Desert / Plain,Creatus,The Fejur Badlands,,,,3660,1423,4160,1923
Desert / Plain,Far Lands,Nehr-Fehlen Er-Losar,,,,6210,4706,6496,4890
Desert / Plain,Far Lands,Nir-Uhlin Sol,,,,6379,4164,6747,4476
Desert / Plain,Far Lands,Selum-Tor Sol,,,,5984,3843,6257,4034
Desert / Plain,Morheim,Atrium Nooklands,,,,3925,3421,4065,3561
Desert / Plain,Morheim,The Scalded Outlands,,,,3334,3551,3614,3831
Desert / Plain,Nightgrove,Relinquished Holds of Underrun,,,,1228,4666,2058,4881
Desert / Plain,Nightgrove,Silvercourt Valley,,,,1602,4181,1867,4436
Desert / Plain,OAR,Saffron Fields,,,,6589,3779,6823,3835
Desert / Plain,OAR,Short Hill Valley,,,,5708,2387,5938,2603
Desert / Plain,Xandor,The Crystal Tundra,,,,743,1500,889,1780
Desert / Plain,Xecuria,Blunder Slopes,,,,1449,2783,1587,2956
Desert / Plain,Xecuria,Direshade Valley,,,,1172,2651,1488,2775
Desert / Plain,Xecuria,Nightstar Fields,,,,737,3183,976,3457
Desert / Plain,Xecuria,The Azure Fields,,,,648,2018,920,2194
Desert / Plain,Yuntas-Mire,The Hammerstone Wastes,,,,3373,3941,3673,4241
Forest,Collective,Dire Forest,"Ecin Aveyry, 46",,,2076,3378,2282,3496
Forest,Collective,Dreamseap Forests,"Ethed Gelnne, 53",,,2499,3692,2603,3855
Forest,Collective,Sycamores Hunt Grounds,,,,2454,3928,2529,4027
Forest,Collective,The Thicket,,,,1852,3304,2033,3595
Forest,Creatus,Damned Forest,,,,4898,1564,5036,1714
Forest,Creatus,Eprerre Woods,,,,6614,1646,6780,1832
Forest,Creatus,Misty Bog,,,,4593,1629,4821,1912
Forest,Creatus,Patola Woods,,,,4991,2038,5316,2148
Forest,Creatus,Tawere Forest,,,,6231,1108,6421,1284
Forest,Creatus,The Covert,,,,6231,1593,6451,1769
Forest,Creatus,The Deep Woodlands,,,,5486,1542,5968,1889
Forest,Creatus,Tiny Wood,,,,5986,1172,6178,1215
Forest,Creatus,Witch King Woodlands,,,,5350,897,5444,1164
Forest,Far Lands,Ikidian Jungle,,,,6937,3799,7271,4128
Forest,Far Lands,The Wildlands,"The forest is vast. It takes days to get across, through thick and thin, up, and down mountains and valleys within. There are pockets of gold ore bleeding through more and more mountain cracks, which are uncharacteristically dark and dreary. These areas are newly inhabited by an influx of hags who are coming to see or join the new world, and are in turn beginning to terrorise the space around for their own amusement and benefit. Large parts of the lowlands within the forest are flooded, creating a murky swampland. The lands are covered in collections of trees, and wide-open plains. Wild animals dominate the landscape and legend has it that Giants claim this land for their own; the only area believed to house them. There is rumor of a building army with a new leader, but no one has dared venture near enough to verify these claims.",,,6778,5002,7200,5349
Forest,Morheim,Aris Woods,,,,3771,2793,3851,2873
Forest,Morheim,Arteron Woods,,,,2740,2420,3000,2680
Forest,Morheim,Astral Woodss,,,,3210,3018,3280,3088
Forest,Morheim,Deadgrowth Forest,,,,3761,3709,3980,3816
Forest,Morheim,Grogwood wilds,,,,4648,2058,4844,2155
Forest,Morheim,Hellcrawl Forest,,,,4820,2700,4940,2820
Forest,Morheim,Joultou Grove,,,,3912,2656,4077,2732
Forest,Morheim,Korthal Forest,"One would be easily lost in the Kotharel Forest. And while the kingdom claims ownership over the land, any governance is severely lacking. The forest stretches for hundreds of kilometers and has few, hard to find trails that wind through parts of it. Rumors of the forest include portals to the Fey, ancient creatures and temples of old worship.",,,3790,2337,3920,2467
Forest,Morheim,Rage Hollow,"Split and broken by mountains, hills, rivers, and lakes, RageHollow forest is known for its dense and dark atmosphere. It's located south of the Dehum-Smit pathway. One river cut right through the forest from mountains in the north to the Continental River. An eerie fog penetrates the dark of the forest and masks the horrors inside. Howls and growls can be heard at night from nearby towns, spreading fear far and wide. Few would dare brave the brush, and only the insane would dare go in at night. The roof of the forest allows the occasional speck of light into the grounds but never much. The forest is always visible from the clear-cut path heading across the land, and is always on the south. Many locals call it the haunted forest, but there are no spirits here, only monsters. Who can really argue on the distinction though. Any local nearby would urge PC's not to venture off of the path, even to make camp. If anything, stay north.",,,4685,3091,4825,3231
Forest,Morheim,The Endless Forest,"A large forest in the central part of Morheim. The kingdom controls portions of the forest. Though not a common destination in itself, the forest's central location means that many must pass through it. Combined with its isolation, this makes the forest a nearly perfect environment for bandits.",,,4233,2235,4533,2535
Forest,Morheim,Velvin Thicket,"Mainly used by the University as a special testing or hunting ground, the Velvin thicket is a special, dangerous forest. The Velvin thicket also grows special trees, Livewood, which is used for spellcasting and enchantment.",,,3045,3160,3215,3330
Forest,OAR,Angel's Growth,,,,7009,3560,7224,3710
Forest,OAR,Evennfall Woods,,,,6519,1969,6757,2139
Forest,OAR,Firelight Forest,,,,6136,2092,6464,2235
Forest,Xandor,Ancient Woodlands of Xandor,,,,1964,1767,2883,1962
Forest,Xandor,Feyrian Woods,,,,1681,1957,2054,2065
Forest,Xecuria,Esperian Woods,,,,1111,3557,1363,3654
Forest,Xecuria,Hammercrag Growth,,,,813,4061,1043,4217
Forest,Xecuria,Old Growth of Elmonn,,,,802,3701,951,3944
Forest,Xecuria,Stillwind Forest,,,,1524,3609,1641,3897
Forest,Xecuria,Winter Woods,,,,818,2495,1049,2707
Lake,Aurillis,Lake Shimmer,,,,3049,673,3282,723
Lake,Aurillis,Lurker's Vale,,,,2509,607,2729,633
Lake,Collective,Willow Basin,,,,2060,3557,2153,3620
Lake,Creatus,Atlashire Cove,,,,4733,1258,4835,1312
Lake,Creatus,Carato Marshlands,,,,5490,966,5771,1146
Lake,Creatus,Casrath Lagoon,,,,4906,866,5029,926
Lake,Creatus,Firbolg Shallows,,,,5735,1156,5836,1215
Lake,Creatus,Orc Hunt Waters,,,,6359,1824,6449,1914
Lake,Creatus,Patola Lake,,,,5282,1843,5400,1950
Lake,Creatus,Tribal Depths,,,,5457,1415,5582,1464
Lake,Morheim,Lake Arcane,,,,2992,2869,3192,3069
Lake,Morheim,Lake Ene,,,,2116,2507,2216,2607
Lake,Morheim,Lake Mithril,,,,2202,3074,2310,3151
Lake,Morheim,Tortle Lake,,,,3933,2742,4213,3022
Lake,OAR,Lake Centhe,,,,5852,2235,5942,2325
Lake,Xecuria,Lake Harmony,,,,1435,2522,1435,2522
Lake,Xecuria,Lake Vari,,,,1562,3246,1592,3276
Lake,Xecuria,Loch Redwater,,,,1310,2992,1350,3032
Lake,Xecuria,The Great Mountain Lake,,,,1594,2637,1894,2937
Lake,Yuntas-Mire,The Dead Lake,,,,3901,3940,3941,3980
Mine,Morheim,Royal Mines of Morheim,,,,3695,2047,3923,2152
Mountain,Collective,Claw of the World,,,,2003,4016,2413,4183
Mountain,Collective,Rage Mountain,,,,1761,3912,1870,3982
Mountain,Creatus,Border Stones,,,,5625,1326,5837,1364
Mountain,Creatus,Carato Mountains,,,,5151,902,5317,1029
Mountain,Creatus,Domain of the Gods,,,,4951,479,5345,719
Mountain,Creatus,Ekhis Hills,,,,4719,1038,4874,1150
Mountain,Creatus,Hand of The Gods,,,,5544,805,5803,910
Mountain,Creatus,Jusomaas Border Hills,,,,6105,1585,6161,1838
Mountain,Creatus,Mt. Blackfuse,,,,3687,1892,3845,1973
Mountain,Creatus,Mt. Hellion,,,,5212,1654,5345,1724
Mountain,Creatus,Mt. Mer'Ehl,,,,6070,1271,6220,1322
Mountain,Creatus,Patola Mountain Range,,,,4895,1905,5185,1959
Mountain,Creatus,The Lonely Peak,,,,5328,1502,5446,1551
Mountain,Creatus,Twillight Gates,,,,6125,1907,6392,1983
Mountain,Dwarven Kingdom,Mt. Harmony,,,,1394,2432,1502,2502
Mountain,Dwarven Kingdom,Omega Peak,,,,1727,2420,1849,2513
Mountain,Far Lands,Arcarath Mountains,,,,6710,3985,6879,4471
Mountain,Far Lands,The Wildland Cliffs,,,,6414,4797,6621,4902
Mountain,Morheim,Adon's Rest,,,,2352,2266,2551,2306
Mountain,Morheim,Attium Hills,,,,3948,3382,4116,3446
Mountain,Morheim,Capital Mountain Range,,,,2981,1982,3512,2083
Mountain,Morheim,Morheim Border Hills,,,,4180,2000,4557,2156
Mountain,Morheim,Smoulder Mountans,,,,2302,2575,2592,2605
Mountain,Nightgrove,Onyx Mountain,,,,1896,4375,1984,4456
Mountain,OAR,Guardian Mountains,,,,5636,2025,5957,2077
Mountain,OAR,Stormcrest Mountains,,,,5957,2370,6145,2627
Mountain,OAR,The Anvil of Stone,,,,5279,2219,5395,2278
Mountain,Xandor,Auril Peak,,,,2262,1282,2366,1447
Mountain,Xandor,Elantis Faehills,,,,1995,1497,2180,1680
Mountain,Xandor,Hyrsasm Peaks,,,,1808,1804,1908,1882
Mountain,Xandor,Mourning Walls,,,,540,1842,828,1892
Mountain,Xandor,Mt. Feyr,,,,2456,2018,2608,2163
Mountain,Xandor,Xandor Faehills,,,,2431,1639,2687,1665
Mountain,Xecuria,Blunder hills,,,,1036,2685,1146,2767
Mountain,Xecuria,Dagger Peaks,,,,1138,3836,1312,3983
Mountain,Xecuria,Mourning Mountains,,,,1064,2041,1315,2292
Mountain,Xecuria,Mt. Esper,,,,1190,3689,1340,3734
Mountain,Xecuria,Mt. Winvern,,,,1079,3480,1146,3529
Mountain,Yuntas-Mire,Sickle Mountains,,,,3821,4170,4001,4267
Mountain,Yuntas-Mire,The Shard Mountains,,,,3573,4250,3978,4385
Ocean/Water,Collective,Dreamshard Depths,"Gunthur Eshlemen, 200",,,2855,3847,3371,4469
Ocean/Water,Creatus,Atlashire Inlet (Cove),,,,4540,1406,4683,1544
Ocean/Water,Creatus,The Sea of the Gods,,,,3977,88,4641,1239
Ocean/Water,Far Lands,Tortlewall Reef,,,,6244,5332,6878,5656
Ocean/Water,OAR,Angel's Route,,,,6491,3493,6670,3529
Ocean/Water,OAR,The Meerilian Islands,,,,7052,2512,7632,3092
Ocean/Water,OAR,The Meerilian Ocean,,,,6285,2943,6685,3343
Ocean/Water,Shattered Isles,Realm's Reach (South),,,,63,5856,8105,6075
Ocean/Water,Xandor,Aurillian Ocean,,,,1123,843,1923,1735
Ocean/Water,Xandor,Domain of the Lurker,,,,2774,1246,3380,1490
Ocean/Water,Xandor,Nancy's Reef,,,,6926,1075,7232,1811
Ocean/Water,Xandor,Reef of Captain Leadhand,,,,5691,308,6463,812
Ocean/Water,Xandor,Spirit Bay,,,,1222,1721,1705,2035
Ocean/Water,Xandor,White Bay,,,,3654,3596,3744,3686
Ocean/Water,Xecuria,Oberon Reef,,,,437,4176,662,4438
Ocean/Water,Yuntas-Mire,Yuntas Sea,,,,4802,3957,5702,4857
Point of Interest,Morheim,The Great Stone Road,,,,3958,2597,4168,2646
Point of Interest,Morheim,The Great Stone Road,,,,4649,2637,4860,2677
Point of Interest,Morheim,The Great Stone Road,,,,5235,2668,5558,2724
Point of Interest,Morheim,The Twin Hills (GreatGaunt + Arden),,,,5203,2399,5453,2649
Point of Interest,Xecuria,The Trail of Bridges,,,,1482,3370,1533,3486
Shores/Coasts,Collective,The Guarded Coast,,,,2714,3790,2834,3910
Shores/Coasts,Far Lands,The Dead Coast,,,,5874,4006,6126,4271
Shores/Coasts,Morheim,Capital Channel,,,,4398,3260,4692,3370
Shores/Coasts,Morheim,Capital Inlet,,,,3485,2277,3670,3069
Shores/Coasts,Morheim,Citizen's Path,,,,3060,2413,3200,2553
Shores/Coasts,Morheim,Serpent's Pass,,,,3369,2587,3469,2687
Shores/Coasts,Nightgrove,The Forgotten Shores,,,,2223,5266,2804,5556
Shores/Coasts,OAR,Cemetery of the Forgotten,,,,6208,2731,6408,2931
Shores/Coasts,OAR,Shimmerian Coast,,,,5497,2860,5810,2952
Shores/Coasts,Xecuria,The Andalin Coast,,,,519,3269,679,3429
Shores/Coasts,Xecuria,The Shores of Zirconia,,,,627,4194,907,4474
Shores/Coasts,Yuntas-Mire,The Free Coast,,,,4970,3510,5036,3799
Shores/Coasts,Yuntas-Mire,The Yuntas Coast,,,,4259,4249,4568,4346
Waterfall,Creatus,The Great Falls of Azam,,,,5129,1972,5169,2012
Waterfall,Morheim,The Everfalls,,,,5012,2148,5032,2168
Waterfall,Xecuria,Esper Falls,,,,1237,3769,1257,3789
Waterfall,Yuntas-Mire,Tremmor Falls,,,,4331,3461,4361,3491
